tc_customer_id,tc_loyalty_program_id,custom_data_product_differentiator,tc_min_created_at,tc_max_created_at,number_of_txns,customer_id,loyalty_program_id,selling_price_usd,cost_per_point_usd,transfer_ratio,start_date,end_date,type_of_partner,tier
60,ACAEROPLAN,Primus,2024-07-20 01:45:06.52915,2024-07-20 01:45:06.52915,1,,,,,,,,,
60,ACAEROPLAN,RETAIL,2024-06-14 16:30:13.997261,2024-07-20 11:30:08.64495,3,60,ACAEROPLAN,0.0144357,0.012270345,20,2023-04-05,3000-10-10,Ascenda Partner,RETAIL
60,ACCORLECLUB,AFFLUENT,2024-06-02 02:30:08.561624,2024-07-30 03:15:07.029062,152,60,ACCORLECLUB,0.017848875,0.01622625,10,2023-10-01,3000-10-10,Ascenda Partner,AFFLUENT
60,ACCORLECLUB,Atlas,2024-06-08 11:15:12.400429,2024-07-30 04:15:10.2351,3178,,,,,,,,,
60,ACCORLECLUB,Burgundy Private,2024-06-01 05:15:07.405805,2024-07-30 03:30:07.371358,145,60,ACCORLECLUB,0.017848875,0.01622625,1.25,2023-10-01,3000-10-10,Ascenda Partner,Burgundy Private
60,ACCORLECLUB,HNI,2024-06-01 00:45:07.724502,2024-07-30 04:30:07.541457,3215,60,ACCORLECLUB,0.017848875,0.01622625,2.5,2023-10-01,3000-10-10,Ascenda Partner,HNI
60,ACCORLECLUB,Horizon,2024-07-17 09:45:07.088096,2024-07-29 18:30:09.035243,52,,,,,,,,,
60,ACCORLECLUB,IOCL,2024-07-17 16:30:10.522958,2024-07-29 13:30:09.491102,27,,,,,,,,,
60,ACCORLECLUB,Magnus Burgundy,2024-06-01 00:00:08.353429,2024-07-30 02:30:07.551958,4298,60,ACCORLECLUB,0.017848875,0.01622625,1.25,2023-10-01,3000-10-10,Ascenda Partner,Magnus Burgundy
60,ACCORLECLUB,Magnus Burgundy Private,2024-06-15 15:30:26.043374,2024-07-22 16:15:10.482978,19,,,,,,,,,
60,ACCORLECLUB,MILE,2024-06-01 00:45:06.951738,2024-06-07 17:45:09.771391,225,60,ACCORLECLUB,0.017848875,0.01622625,0.5,2023-10-01,3000-10-10,Ascenda Partner,MILE
60,ACCORLECLUB,Non Magnus Burgundy,2024-06-01 07:30:08.357592,2024-07-29 19:15:06.525594,245,60,ACCORLECLUB,0.017848875,0.01622625,1.25,2023-10-01,3000-10-10,Ascenda Partner,Non Magnus Burgundy
60,ACCORLECLUB,Olympus,2024-07-17 09:45:11.956127,2024-07-29 18:00:06.699557,24,,,,,,,,,
60,ACCORLECLUB,RETAIL,2024-06-01 17:00:06.702947,2024-07-29 17:15:07.451162,44,60,ACCORLECLUB,0.017848875,0.01622625,20,2023-10-01,3000-10-10,Ascenda Partner,RETAIL
60,AFFLYINGBLUE,AFFLUENT,2024-06-01 20:30:10.479114,2024-07-24 10:15:07.646083,7,60,AFFLYINGBLUE,0.0121,0.011,10,2022-08-26,3000-10-10,Ascenda Partner,AFFLUENT
